Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
PERANCANGAN ZUCARA SEBAGAI MEDIA PEMBELAJARAN CAPOEIRA BERBASIS ANDROID,Wahyu Hakim Fiddin,"Cucun Very Angkoso, S.T., M.T","Bain Khusnul Khotimah, S.T., M.Kom","Pembelajaran/Tutorial pada perangkat selular lebih praktis dibandingkan dengan pembelajaran konvensional tatap muka, karena pengguna dapat belajar dengan fleksibel dimana saja tanpa adanya batasan ruang dan waktu. Pembelajaran mobile dapat memberikan kemudahan dalam memahami sesuatu tanpa mengganggu hal-hal yang berhubungan dengan manusia .
Capoeira sebagai salah satu kebudayaan populer di dunia telah merebut hati penggemarnya dari berbagai kalangan usia, gender, kultur dan lain sebagainya. Karena Capoeira terdapat nilai universal yang mampu menjadikan satu dalam perbedaan, terlebih Capoeira dianggap efektif sebagai salah satu gaya hidup sehat dalam unsur sportnya.
Madura sebuah pulau Indah yang juga tak kalah dalam Capoeira. Disini terdapat suatu kelompok yang fokus dan eksis dalam mempelajari dan mengembangkan Capoeira. Adalah Zungu Capoeira Madura nama dari kelompok ini yang berafiliasi dengan Induknya di Brasil membuat inovasi Zucara sebagai media pembelajarannya. 
Penulis menggunakan Android sebagai platform media aplikasi ini karena android berbasis open source. Kebutuhan akan media pembelajaran ini diimplementasikan pada perangkat selular yang menggunakan sistem operasi Android versi 2.3 Gingerbread. Harapan dari aplikasi ini adalah pengguna dapat meningkatkan skill Capoeira dengan mengakses langsung dari perangkat selular mereka."
SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN SISWA BARU BERBASIS WEB MENGGUNAKAN METODE ID3 DI SMA HIDAYATUN NAJAH PAMEKASAN,Rudi Sutrisno,"Bain Khusnul Khotimah, ST, M.Kom.","Achmad Jauhari, ST, M.Kom.","Penyeleksian siswa baru adalah suatu hal yang perlu ditentukan secara tepat dan tepat. Dalam hal penentuan calon siswa baru diperlukan beberapa pertimbangan yang cukup banyak dan rumit yaitu standarisasi nilai, persyaratan masuk sekolah serta kebijakan-kebijakan dari pemerintah lembaga pendidikan  yang sering berubah tiap tahunnya. Maka dari itu perlu untuk merancang sebuah aplikasi untuk membantu panitia penerimaan siswa baru dalam menyeleksi siswa baru. Sehingga nantinya memperoleh siswa yang unggul, berprestasi, dan berkualitas. Decision Tree Learning merupakan satu metode learning yang sangat populer dan banyak digunakan secara praktis. Algoritma Iterative Dychotomizer 3 (ID3) yaitu salah satu metode yang dapat membangun pohon keputusan secara top-down dengan menggunakan information gain sebagai alat ukur efektivitas suatu atribut dalam mengklasifikasikan kumpulan sampel data yang kurang lengkap. Pembuatan tugas akhir ini menghasilkan system pendukung keputusan penerimaan siswa baru yang membantu para panitia dalam menyeleksi para peserta siswa baru. Sistem Pendukung Keputusan Penerimaan Siswa Baru di SMA Hidayatun Najah Pamekasan dapat menentukan calon siswa yang unggul dan berkualitas dalam bidang pendidikan dengan hasil yang lebih baik, cepat dan akurat.

Kata Kunci : Decision Tree Learning,Information Gain , Algoritma Iterative Dychotomizer 3 (ID3)"
ANALISIS LINGKUNGAN KERJA FISIK TERHADAP WAKTU REAKSI DENGAN METODE TAGUCHI (studi kasus : Mahasiswa teknik industri Universitas Trunojoyo Madura),Muhammad Nasihin,"Fitri Agustina S,T.,M,T.","Nachnul Ansori S,T.,M,T.","Mahasiswa diharapkan mempunyai tingkat reaksi yang cepat dalam menanggapi impuls atau rangsangan kerena dalam kesehariannya dihadapkan pada tugas yang menuntut ketepatan dan kecepatan. Aktivitas dalam menerjemahkan informasi lalu melakukan reaksi tersebut, dapat disebut waktu reaksi. Berdasarkan  faktor-faktor yang mempengaruhi waktu reaksi faktor penganggu merupakan faktor yang menarik untuk diteliti karena sering dialami dalam kehidupan sehari-hari yaitu dalam bentuk lingkungan kerja fisik. Dengan begitu dilakukan penelitian tentang lingkungan fisik yaitu suhu, warna dan kebisingan untuk didapatkan lingkungan yang optimal guna mendukung waktu reaksi mahasiswa itu sendiri. Berdasarkan hasil Uji T didapatkan bahwa tidak ada perbedaan waktu reaksi antara mahasiswa jenis kelamin laki-laki dan perempuan. Kemudian dengan menggunakan anova pada taguchi dengan tingkat signifikan sebesar 5% diperoleh faktor warna, kebisingan dan interaksi keduanya mepunyai pengaruh terhadap waktu reaksi (simple reaction time). Dan didapatkan Kombinasi level faktor yang menghasilkan nilai rata ârata dan variansi waktu reaksi (simple reaction time) yang optimal sama, yaitu diperoleh dari setting faktor pada warna merah dan kebisingan terpilih 40 dB.

Kata kunci : waktu reaksi, simple reaction time,taguchi"
RANCANG BANGUN SISTEM INFORMASI GEOGRAFIS PENGIRIMAN SOAL UAN BERBASIS WEB DENGAN MENGGUNAKAN ALGORITMA A* (Studi Kasus: SMAN se-SURABAYA) ,Kurnia Candra Wati,"Mula'ab, S.Si., M.Kom","Rika Yunitarini, ST., MT","Kendaraan merupakan suatu alat transportasi primer yang dibutuhkan oleh manusia yang pada kenyataannya hampir setiap hari kendaraan digunakan untuk aktivitas bekerja maupun aktivitas yang lain. Permasalahan yang diangkat pada tugas akhir ini adalah pengiriman soal Ujian Akhir Nasional (UAN) yang ada di SMAN (Sekolah Menengah Atas Negeri) di Surabaya. Salah satu upaya untuk mengatasi permasalahan tersebut yaitu dengan memanfaatkan Sistem Informasi Geografis, sedangkan untuk mengetahui posisi dan keberadaan kendaraan dapat dilakukan dengan sistem pengiriman melalui aplikasi Gammu berbasis web. Dalam mengimplementasikannya, penelitian ini menggunakan algoritma A* untuk pencarian rute terpendek jalannya demi mencapai tempat tujuan. 

Kata kunci : gis, algoritma a*, gammu"
PENGEMBANGAN SISTEM MONITORING DISTRIBUSI GURU SEKOLAH DASAR NEGERI DI KABUPATEN GRESIK BERBASIS STANDAR PELAYANAN MINIMAL (SPM),Ria Ismawati Sholihah,"M. Kautsar Sophan, S.Kom., M.MT.","Rika Yunitarini, S.T., M.T.","Untuk meningkatkan mutu pendidikan setiap sekolah membutuhkan guru berkualitas yang menyebar secara merata di seluruh daerah. Namun hingga saat ini pemerataan guru masih perlu peningkatan karena belum sesuai dengan Standar Nasional Pendidikan (SNP). Mengingat pemenuhan SNP masih dirasakan sulit bagi banyak sekolah, maka Standar Pelayanan Minimal (SPM) dirancang sebagai tahapan awal untuk mencapai SNP. 
Aplikasi sistem ini dibuat berbasis web yang disajikan dalam bentuk peta dan grafik sehingga mempermudah pengguna dalam memahami informasi distribusi guru SDN di kabupaten Gresik, dengan bahasa pemrograman yang digunakan adalah PHP, HTML, dan CSS. Sistem ini dibangun dengan menggunakan leaflet.js untuk menampilkan peta lokasi SDN di wilayah kabupaten Gresik. Sistem ini dibagi atas 2 user, yaitu : admin (pegawai dinas) dan pengguna umum (guru). Admin dapat menginputkan data sekolah, dan pengguna umum dapat melihat informasi sekolah berdasarkan distribusi guru dan analisis SPM perkecamatan.
Pada uji coba sistem yang telah dilakukan di Dinas Pendidikan Kabupaten Gresik menunjukkan bahwa pengguna dapat dengan mudah melakukan monitoring distribusi guru berdasarkan penggunaan sistem serta kelengkapan fitur. Hal itu dapat ditunjukkan dari hasil  quisioner pada 10 orang responden.

Kata kunci : Pendidikan, Monitoring, Distribusi Guru, SPM"
PENILAIAN KINERJA TEKNOLOGI KELOMPOK INDUSTRI TENUN IKAT DI LAMONGAN,M. Masfuf Ubaidhillah,"Ari Basuki, ST. MT.","Dr. Rachmad Hidayat, ST. MT.","Penelitian ini membahas tentang penilaian kinerja komponen teknologi kelompok industri tenun ikat Parengan di Kabupaten Lamongan dan mengetahui komponen teknologi terlemah sehingga dapat diperbaiki dengan analisa Root Cause Analysis. Cara yang dilakukan untuk menilai komponen teknologi (Technoware, Humanware, Infoware dan Orgaware) kelompok industri tenun ikat Parengan tersebut dengan menggunakan metode Teknometrik dan pembobotan dengan metode AHP (Analytical Hierarchy Process) serta perbaikan komponen teknologi terlemah dengan metode RCA. Dari hasil penelitian diperoleh Nilai TCC IKM tenun ikat Parengan âPasar Luarâ sebesar 0,4225 sedangkan di IKM tenun ikat Parengan âPasar Lokalâ sebesar 0,4293. Maka nilai TCC untuk IKM tenun ikat di Parengan yang berorientasi âPasar Luarâ dan di IKM tenun ikat Parengan âPasar Lokalâ berada pada tingkat cukup dan tingkat teknologi pada tingkat semi modern. Berdasarkan perbandingan nilai THIO komponen teknologi di IKM yang berorientasi âPasar Luarâ lebih unggul dibanding di IKM yang berorientasi âPasar Lokalâ yaitu pada komponen technoware dan orgaware. Kebalikannya perbandingan nilai THIO komponen teknologi di IKM yang berorientasi âPasar Luarâ lebih lemah dibanding di IKM yang berorientasi âPasar Lokalâ yaitu pada komponen humanware dan infoware. Sehingga disusun beberapa analisa perbaikan untuk memperbaiki kriteria komponen teknologi tersebut."
"MEDIA PEMBELAJARAN IBADAH SHALAT BESERTA DOA-DOA
BERBASIS ANDROID
",Immah Rohimah,"Devie Rosa Anamisa,S.Kom,M.Kom",,"Shalat merupakan kewajiban yang harus dijalankan oleh setiap umat muslim, karena shalat merupakan salah satu bentuk syukur dan pendekatan diri kepada Allah SWT. Pada penelitian sebelumnya hanya membahas tentang media pembelajaran berbasis multimedia yakni shalat fardhu[1] maka dari itu penulis perlu membuat aplikasi yang lebih multifungsi yakni media pembelajaran yang membahas tentang shalat fardhu, shalat sunnat, dzikir dan doa setelah sholat, didalam aplikasi media pembelajaran ini disertakan juga latihan soal, metode yang digunakan dalam latihan tersebut ialah metode Scoring System yakni penilaian kemampuan pengguna dalam menjawab soal latihan. Dengan membangun sebuah media tentang Pembelajaran Ibadah Shalat berbasis android maka pengguna bisa belajar  ibadah dimana saja dengan mudah dan dengan bersifat multimedia tampilan aplikasi akan tampak menarik sehingga mendorong keinginan pengguna untuk belajar ibadah shalat. 

Kata Kunci :Ibadah shalat, Doa, Media Pembelajaran, Metode Scoring System, Android."
"PENGONTROLAN PENDINGIN RUANGAN (AC) MENGGUNAKAN 
ANDROID",Rama Aliansyah,"Muhammad Fuad, S.Kom., M.T",,"Smartphone dengan sistem operasi Android semakin banyak tersedia di pasaran dengan harga yang semakin terjangkau. Sistem operasi Android sendiri bersifat sistem operasi open source yang dapat dimodifikasi sesuai dengan keperluan. Hal ini menumbuhkan minat untuk dapat membuat perangkat lunak yang bermanfaat dalam memenuhi kebutuhan manusia sehari-hari. Pada sekilas, tampilan sistem operasi android tampaklah biasa saja. Tetapi jika diteliti secara mendalam, terdapat suatu sistem multifungsi yang dapat terhubung dengan mikrokontroler (robot). Namun, masih belum banyak peneliti yang mengimplementasikan kecanggihan tersebut untuk memudahkan kebutuhan manusia sehari-hari.
Maka dari itu didalam penelitian ini penulis bertujuan untuk merancang program aplikasi yang mengimplementasikan kecanggihan sistem operasi android, yaitu mengontrol pendingin ruangan, mengaktifkan dan menonaktifkannya melalui smartphone berbasis android yang terhubung dengan mikrokontroler via jaringan internet. Sehingga, pendingin ruangan dapat dikendalikan dari jarak jauh dengan hanya mengandalkan smartphone android dan jaringan internet. 
Diharapkan nantinya program aplikasi ini dapat bermanfaat pada kehidupan sehari-hari, juga menjadikan smartphone android sebagai perangkat selular yang multifungsi, di samping alat komunikasi tapi juga sebagai perangkat yang dikomunikasikan untuk mengendalikan sebuah perangkat keras.

Kata kunci: Android, Smartphone, Mikrokontroler, Perancangan."
Analisis Ekuitas Merek dan Perpindahan Merek untuk Menentukan Strategi Bauran Promosi Sabun Mandi Kesehatan Merek Nuvo,LUTFI AL MAN FALUTI,"Dr. Rachmad Hidayat, MT.","Samsul Amar, S.T., M.Sc.","Pemasaran dapat dikatakan hal yang paling penting dalam setiap kegiatan usaha, sebab sukses tidaknya suatu usaha sangat dipengaruhi oleh kegiatan dalam memasarkan produknya. Salah satu kegiatan utama dalam pemasaran adalah promosi, promosi akan dapat meningkatkan dan memperkuat merek dalam sebuah produk. Banyaknya merek sabun mandi kesehatan yang ada membuat loyalitas konsumen sabun mandi terhadap suatu merek menjadi semakin berkurang, karena konsumen lebih leluasa dalam memilih merek produk pada saat melakukan pembelian sehingga dapat menyebabkan tingkat perpindahan merek semakin tinggi. Tujuan dari penelitian ini adalah memprediksi pangsa pasar menggunakan metode Markov Chain dan menganalisis ekuitas merek (brand equity) pada produk sabun mandi kesehatan untuk merancang strategi bauran promosi pemasaran pada merek Nuvo. Dari  hasil  perhitungan didapat prediksi pangsa pasar merek Lifebuoy sebesar 49 %, Dettol sebesar 36 %, Nuvo sebesar 15 %, Medicare sebesar 0%, Sehat sebesar 0 %. Hasil analisis kesadaran merek (brand awareness) diketahui bahwa tingkat tertinggi pada merek Nuvo berada pada level brand recall (33 %), dan hasil analisis loyalitas merek (brand loyalty) diketahui bahwa presentase merek Nuvo pada level switcher ke habitual buyer dan satisfied buyer semakin besar, tetapi pada level liking the brand dan committed buyer mengalami penurunan."
RANCANG BANGUN APLIKASI SISTEM INFORMASI MONITORING AKADEMIK SEKOLAH (SIMAS) BERBASIS MULTI PLATFORM MENGGUNAKAN STANDAR KURIKULUM 2013,Arik Kurniawan,"Achmad Jauhari, ST., M.Kom","Moch. Kautsar Sophan, S.Kom.,M.MT.","Perkembangan teknologi informasi dan telekomunikasi yang sangat pesat pada era sekarang, telah membantu baik dikalangan instansi maupun perusahaan dalam penyebaran informasi. Dengan adanya alat komunikasi seperti internet dan alphanumeric atau yang lebih dikenal dikalangan masyarakat umum dengan SMS (Short Massage Service), telah menjadi konsumsi sehari-hari. Dengan memanfaatkan fitur-fitur yang ada pada SMS di telepon genggam dan fasilitas internet, diharapkan Aplikasi Sistem Informasi Monitoring Akademik Sekolah (SIMAS) dapat membantu untuk memudahkan pihak sekolah yaitu SMKN 1 Sumenep dalam penyebaran informasi baik melalui web mobile maupun SMS Gateway kepada masing-masing siswa dan wali murid, agar menghindari diskomunikasi antara pihak sekolah, siswa, dan walimurid."
"PERANCANGAN MODEL SIMULASI LINI PRODUKSI SEPATU
(Studi Kasus : PT. Widaya Ini Plasma, Sidoarjo)
",BUDI WILAKSONO,"SUGENG PURWOKO, S.T., M.T.","SABARUDIN AKHMAD, S.T., M.T.","PT. Widaya Inti Plasma merupakan salah satu perusahaan manufaktur yang bergerak dalam bidang footwear, mengenai permasalahan terkait proses produksi terutama pada departemen injection, hal ini dikarenakan mesin yang digunakan bekerja secara otomatis, sehingga pemborosan menghasilkan cacat pada produk yang tidak bisa dihindari. Penelitian ini dilakukan untuk melengkapi kekurangan yang ada pada penelitian sebelumnya yaitu dengan merancang suatu model simulasi dengan tujuan memberikan usulan perbaikan untuk mengoptimalkan sumberdaya produksi, meminimalisasi jumlah antrian, meminimasi work in process (WIP) dan maksimasi output produk yang dihasilkan pada lini produksi sepatu. Berdasarkan hasil pengolahan data didapatkan jumlah antrian tertinggi pada stasiun proses injection sebesar 125 entity dengan nilai utilitas pada mesin sebesar 63% sehingga pada stasiun ini akan dilakukan perbaikan. Setelah usulan perbaikan dilakukan yaitu dengan menambah 4 resource yaitu 3 mesin (1 mesin heating, 1 mesin injection dan 1 Mesin cooling) dan 1 tenaga kerja trimming didapatkan hasil penurunan jumlah antrian pada ke 4 resource dengan nilai antrian proses heating sebesar 47 entity, injection sebesar 84 entity dan cooling sebesar 42 entity, untuk utilitas mesin pada proses heating sebesar 38%, proses injection sebesar 46% dan  proses cooling sebesar 24% dan untuk utilitas tenaga kerja pada proses trimming sebesar 36 %.


Kata kunci : simulasi, WIP, footware"
"ANALISA BULLWHIP EFFECT PADA RANTAI PASOK INDUSTRI KECAP TRADISIONAL UD. HASIL BUMI DI KABUPATEN SUMENEP
(Studi kasus UD. Hasil Bumi Sumenep Madura)
",MAYASRIMARTINI,"Sugeng Purwoko, S.T., MT","Indra Cahyadi, S.T., MBus (ERp)","Pada penelitian ini membahas tentang analisis bullwhip pada rantai pasok industri kecap tradisional. Untuk mengetahui adanya bullwhip diperlukan suatu aliran supply chain, tujuan utama dari supply chain adalah mengsingkronisasikan antara arah hulu dan hilir agar bisa menjaga efektifitas dari supply chain yang dibangun, namun sering kali terjadi ketidak seimbangan antara upstream channel (hulu) dengan downstream channel (hilir). Ketidak seimbangan ini yang disebut bullwhip. Besarnya bullwhip akan menyebabkan kurangnya kinerja perusahaan seperti tidak terpenuhinya permintaan akibat kurangnya produksi dan ketidak efisiensi pada supply chain seperti bertambahnya inventory pada setiap channel sehingga menyebabkan bertambahnya biaya simpan. Pada penelitian ini dilakukan pada UD. Hasil Bumi untuk menganlisis bullwhip yang terjadi pada setiap aliran supply chain sehingga bisa diketahui pada chain yang mana yang terjadi bullwhip sehingga bisa dilakukan pengurangan dengan mengetahui penyebab-penyebabnya terlebih dahulu. Untuk menghitung bullwhip diperlukan data permintaan pada setiap tier yaitu data permintaan retailer atau toko, data permintaan distributor, data permintaan manufaktur, dan data permintaan supplier. Nilai bullwhip menunjukkan besarnya tingkat variabilitas permintaan (amplifikasi permintaan) pada kedua pelaku supply chain. Besarnya nilai dari hasil perhitungan bullwhip diperoleh dari hasil bagi dari koefisien variansi order dengan koefisien variansi penjualan. Apabila nilai bullwhip > 1 berarti terjadi amplifikasi permintaan, tetapi jika nilai bullwhip < 1 berarti permintaan masih stabil atau terjadi penghalusan pola permintaan. Dari hasil perhitungan terjadinya bullwhip yang paling besar pada internal supply (manufaktur) terhadap external supply (supplier), yaitu pada supply kedelai dan supply gula merah pada UD. Hasil Bumi masing-masing nilai bullwhip sebesar 2,586106434 dan 7,203234659. Nilai bullwhip > 1 berarti terjadi amplifikasi permintaan pada internal supply chain dan external supply. Pada internal supply (manufaktur) terhadap external konsumen (distributor) dengan nilai bullwhip sebesar 2,321059989. Nilai bullwhip > 1 berarti terjadi amplifikasi permintaan pada internal supply chain dan external konsumen. Dari hasil analisis besarnya bullwhip disebabkan ramalan permintaan yang tidak akurat dan supply material jauh lebih besar dari jumlah material yang digunakan. Yaitu pada supply kedelai dan supply gula, sehingga menyebabkan terjadinya bullwhip yang besar sehingga menyebabkan menumpuknya kedelai dan gula merah yang disimpan digudang."
